BIKE_ID,RENT_DT,RENT_ID,RENT_NM,RENT_HOLD,RTN_DT,RTN_ID,RTN_NM,RTN_HOLD,USE_MIN,USE_DST,USR_CLS_CD,SEX_CD,BIRTH_YEAR,RENT_STATION_ID,RETURN_STATION_ID,BIKE_SE_CD,START_INDEX,END_INDEX,RNUM
SPB-40689,2026-03-30 01:00:13,02703,서울도시가스 앞,0,2026-03-30 01:01:32,01169,염창역 1번 출구,0,1,176.32,USR_001,M,2003,ST-2018,ST-1506,일반자전거,0,0,1
SPB-50048,2026-03-30 01:03:17,02085,강남중학교 앞,0,2026-03-30 01:03:50,02085,강남중학교 앞,0,0,0.00,USR_001,M,1995,ST-2358,ST-2358,일반자전거,0,0,2
SPB-47567,2026-03-30 01:00:36,00230,영등포구청역 7번출구,0,2026-03-30 01:05:08,03221,서울특별시 남부교육지원청,0,4,562.06,USR_001,M,2007,ST-413,ST-1992,일반자전거,0,0,3
SPB-52701,2026-03-30 01:00:10,01103,방화역 4번출구앞,0,2026-03-30 01:05:17,05053,신마곡벽산블루밍메트로오피스텔앞,0,5,776.02,USR_001,M,1969,ST-831,ST-2883,일반자전거,0,0,4
SPB-72070,2026-03-30 01:01:17,00213,KT앞,0,2026-03-30 01:05:20,00219,롯데캐슬엠파이어 옆,0,4,703.19,USR_001,M,1993,ST-59,ST-62,일반자전거,0,0,5
SPB-59231,2026-03-30 01:02:33,00725,양강중학교앞 교차로,0,2026-03-30 01:05:42,04544,경창시장,0,3,0.13,USR_001,M,1999,ST-996,ST-3215,일반자전거,0,0,6
SPB-72748,2026-03-30 01:02:08,01337,돈암성당 옆,0,2026-03-30 01:05:43,01338,용문2교 옆,0,3,461.44,USR_001,,,ST-1201,ST-1202,일반자전거,0,0,7
SPB-40261,2026-03-30 01:00:33,05091,보타닉파크타워2,0,2026-03-30 01:05:46,01162,공항초등학교건너편,0,5,884.26,USR_001,M,2009,ST-3145,ST-1253,일반자전거,0,0,8
SPB-72855,2026-03-30 01:02:17,00590,건국대학교 (입학정보관),0,2026-03-30 01:05:55,03566,우성4차아파트,0,3,506.21,USR_001,M,2001,ST-972,ST-2305,일반자전거,0,0,9
SPB-57669,2026-03-30 01:01:49,01634,당고개공원 대여소,0,2026-03-30 01:06:18,01625,상계역 3번출구,0,4,869.57,USR_001,,1964,ST-608,ST-914,일반자전거,0,0,10
SPB-40991,2026-03-30 01:01:21,04024,꿈의숲 SK뷰 아파트,0,2026-03-30 01:06:26,01601,석계역 문화광장 내 자전거 보관소,0,5,1003.83,USR_001,,1999,ST-2714,ST-600,일반자전거,0,0,11
SPB-65010,2026-03-30 01:01:35,01258,가락미륭아파트 앞,0,2026-03-30 01:06:31,04872,개롱역 3번 출구 뒤,0,4,767.19,USR_001,M,2006,ST-1077,ST-2878,일반자전거,0,0,12
SPB-36918,2026-03-30 01:01:52,00576,광나루역 3번 출구,0,2026-03-30 01:06:45,03886,광진구 민방위교육센터,0,4,709.54,USR_001,M,2001,ST-387,ST-3012,일반자전거,0,0,13
SPB-63603,2026-03-30 01:02:41,00521,왕십리역 11번 출구 앞,0,2026-03-30 01:07:01,00536,행당역 2번출구 앞,0,4,634.12,USR_001,M,1982,ST-237,ST-248,일반자전거,0,0,14
SPB-70129,2026-03-30 01:03:38,00115,마스타 빌딩 앞,0,2026-03-30 01:07:24,04269,연희IC 남측,0,4,524.16,USR_001,M,2005,ST-12,ST-3062,일반자전거,0,0,15
SPB-67638,2026-03-30 01:03:14,04953,세양청마루아파트 앞,0,2026-03-30 01:07:38,01077,강동역 1번출구 앞,0,4,670.97,USR_001,M,2003,ST-3248,ST-1838,일반자전거,0,0,16
SPB-47927,2026-03-30 01:02:12,03514,왕십리교회옆,0,2026-03-30 01:07:45,00613,신설동역 10번출구 앞,0,5,920.00,USR_001,M,1989,ST-1198,ST-272,일반자전거,0,0,17
SPB-74888,2026-03-30 01:05:13,03676,강동리엔파크9단지,0,2026-03-30 01:07:50,03685,강동리엔파크14단지(1401동 앞),0,2,652.78,USR_001,M,1989,ST-2696,ST-2697,일반자전거,0,0,18
SPB-72769,2026-03-30 01:02:49,04658,녹번역1번출구앞,0,2026-03-30 01:07:52,00982,녹번초등학교(서오릉로),0,5,725.79,USR_001,F,1982,ST-2776,ST-2250,일반자전거,0,0,19
